ID,Response
50883,0.8766058
50884,0.3186661
50885,0.00010916806
50886,0.06687819
50887,0.9308678
50888,0.51911604
50889,0.8515624
50890,0.80658484
50891,0.35674855
50892,0.8135285
50893,0.034176975
50894,0.8638361
50895,5.6748318e-06
50896,0.046116114
50897,0.0042410917
50898,0.0037538675
50899,0.028005892
50900,0.12569997
50901,0.9991358
50902,0.0007462228
50903,0.000981615
50904,0.00039787462
50905,0.14227305
50906,4.0641947e-12
50907,0.0001368581
50908,0.20104498
50909,0.8779842
50910,0.86678433
50911,0.008534432
50912,0.33089933
50913,0.013957483
50914,0.0033424986
50915,0.037199076
50916,3.954057e-12
50917,0.00048478157
50918,0.9564013
50919,4.029716e-05
50920,0.8920888
50921,0.50342673
50922,2.5649106e-05
50923,6.6754154e-08
50924,2.779728e-06
50925,0.9903204
50926,0.35472372
50927,0.99259925
50928,0.99741346
50929,0.51778483
50930,3.6415315e-11
50931,7.2375655e-10
50932,0.5290265
50933,0.063982554
50934,8.116214e-06
50935,4.697594e-06
50936,0.00060756755
50937,0.008108654
50938,3.351487e-05
50939,0.015877932
50940,0.8000035
50941,0.00013643644
50942,0.97566617
50943,0.0008081926
50944,0.0020879512
50945,3.323314e-05
50946,0.9787364
50947,0.00010418273
50948,0.42207506
50949,4.2528717e-07
50950,0.5763458
50951,0.053277675
50952,0.9574611
50953,0.010082936
50954,0.06441606
50955,0.00013377365
50956,0.02051141
50957,0.8059136
50958,0.09357593
50959,7.7603054e-17
50960,0.29074314
50961,0.99932325
50962,0.9335145
50963,0.0025819896
50964,0.0012962056
50965,0.9633178
50966,0.8117095
50967,0.00032716422
50968,0.008372088
50969,0.47090733
50970,6.1905926e-06
50971,0.02637549
50972,0.9169886
50973,0.00046758095
50974,0.006419158
50975,0.15577623
50976,1.1438153e-06
50977,0.049808975
50978,1.0640191e-06
50979,0.0024904711
50980,0.24871218
50981,2.378029e-07
50982,0.00021896679
50983,6.5147084e-05
50984,0.053917013
50985,0.5138126
50986,0.0002347662
50987,0.2949881
50988,0.02593118
50989,8.5660255e-12
50990,0.0016505804
50991,0.14338823
50992,9.48957e-06
50993,0.0574645
50994,0.840167
50995,0.94527835
50996,0.009730451
50997,2.5958566e-06
50998,0.0051091705
50999,1.1991198e-10
51000,0.013713811
51001,0.09069417
51002,1.9627427e-08
51003,0.99657565
51004,0.0026889546
51005,0.14064014
51006,0.9998307
51007,1.5996051e-05
51008,0.00013872737
51009,0.98577183
51010,0.013001973
51011,0.053799488
51012,1.3544235e-10
51013,0.97171074
51014,0.0017095193
51015,0.97477233
51016,1.3861718e-07
51017,2.199368e-11
51018,0.002148851
51019,0.5743743
51020,0.6173582
51021,0.28073645
51022,0.30006567
51023,0.86975676
51024,0.023787275
51025,0.3826706
51026,0.74559665
51027,5.88107e-10
51028,4.4462133e-05
51029,3.0042413e-05
51030,0.592675
51031,0.057445545
51032,4.2796588e-10
51033,2.2110505e-09
51034,0.0026972995
51035,0.24118704
51036,0.16706918
51037,0.98828655
51038,0.7460927
51039,2.479203e-07
51040,0.84970015
51041,0.034955654
51042,0.254462
51043,4.816389e-09
51044,0.988786
51045,0.00012971653
51046,0.13028105
51047,1.2649097e-07
51048,3.62321e-09
51049,0.015795574
51050,0.5127419
51051,0.7236697
51052,0.05999424
51053,4.740084e-07
51054,0.010589371
51055,0.3591237
51056,3.5720325e-14
51057,0.8379085
51058,0.32002643
51059,0.0030820686
51060,1.6179536e-06
51061,0.010054215
51062,0.99746823
51063,0.9463863
51064,0.13085885
51065,0.79592675
51066,0.9079212
51067,0.87538797
51068,0.00038010714
51069,0.12358988
51070,6.800392e-16
51071,0.074674435
51072,0.9486541
51073,0.00019027233
51074,0.19841978
51075,2.4926176e-16
51076,7.766059e-11
51077,0.22362863
51078,0.8311705
51079,0.010995963
51080,0.997584
51081,0.9982851
51082,2.1402916e-06
51083,0.6595247
51084,0.0033866516
51085,0.008577899
51086,0.43231842
51087,0.105606854
51088,1.314174e-08
51089,0.0027777755
51090,3.7352072e-06
51091,0.0031045824
51092,0.41583318
51093,1.8694485e-05
51094,0.0028082111
51095,0.0127766
51096,0.057403147
51097,7.3205614e-10
51098,0.2896721
51099,0.9931977
51100,0.7854132
51101,0.0001426485
51102,0.5842585
51103,0.13234405
51104,3.2690074e-15
51105,0.9877108
51106,0.000448527
51107,0.50130993
51108,1.7340783e-06
51109,0.017400881
51110,0.11476679
51111,2.6331095e-06
51112,0.8010194
51113,0.09207989
51114,0.050739463
51115,0.010347486
51116,1.1811453e-08
51117,1.8795656e-11
51118,0.04753265
51119,0.030162297
51120,0.015830081
51121,0.0013999142
51122,0.005429343
51123,0.7894237
51124,4.955267e-06
51125,0.015368936
51126,0.9704004
51127,0.4492925
51128,0.0015590749
51129,2.6919427e-11
51130,0.5921267
51131,2.1259284e-05
51132,0.0010059674
51133,0.5144411
51134,0.9344405
51135,0.59113765
51136,0.0030643942
51137,0.0062753144
51138,0.68770003
51139,0.99850214
51140,0.8181229
51141,0.00067096506
51142,0.04206362
51143,1.5461246e-10
51144,3.8507922e-05
51145,0.88414055
51146,0.8141798
51147,0.8766381
51148,8.134005e-06
51149,0.000138332
51150,2.212441e-06
51151,0.022300709
51152,0.29620218
51153,0.0014752805
51154,0.6345669
51155,0.5502797
51156,0.029630236
51157,0.0019732155
51158,0.48596686
51159,0.43025088
51160,3.2961373e-06
51161,0.8558109
51162,0.8212285
51163,0.0076056146
51164,0.00011465665
51165,0.9454825
51166,1.9082395e-07
51167,0.24070883
51168,0.32637873
51169,0.01645052
51170,0.9877303
51171,1.6824051e-05
51172,0.2649527
51173,0.009685078
51174,0.0021970784
51175,0.796109
51176,0.0025599075
51177,0.14544235
51178,0.13796589
51179,0.6291491
51180,0.99863774
51181,0.109146476
51182,0.9017926
51183,0.12311936
51184,0.9927401
51185,0.00087111455
51186,0.0045711943
51187,0.89898705
51188,0.045596354
51189,0.1304255
51190,0.00029895865
51191,0.00011291986
51192,0.03795256
51193,0.34741253
51194,0.02357276
51195,1.616956e-05
51196,2.2801117e-07
51197,0.21254998
51198,0.24027412
51199,3.2126545e-06
51200,0.24499536
51201,0.8383034
51202,0.45149866
51203,0.6228496
51204,5.024793e-05
51205,0.76747394
51206,2.3539676e-06
51207,0.03854396
51208,0.018732432
51209,4.817775e-05
51210,1.5132265e-05
51211,0.7987213
51212,0.011639421
51213,0.011605027
51214,0.004937004
51215,0.04517698
51216,0.0026512295
51217,0.25016627
51218,0.3588673
51219,0.011848569
51220,0.61428684
51221,0.44605255
51222,0.00020676029
51223,0.09261831
51224,0.9029837
51225,0.042507127
51226,0.0002419328
51227,0.70392716
51228,8.1868406e-05
51229,0.041217733
51230,0.010280167
51231,4.2050862e-05
51232,0.004901867
51233,0.25928548
51234,6.270061e-09
51235,0.14993005
51236,1.0107594e-06
51237,0.89015055
51238,0.0675857
51239,0.2845402
51240,0.05971602
51241,0.0014393013
51242,0.0017272738
51243,0.0006789034
51244,0.42493403
51245,0.024348747
51246,0.02819385
51247,0.02189632
51248,0.75541955
51249,6.5453535e-19
51250,0.99037445
51251,0.011391555
51252,0.1538639
51253,0.004471389
51254,0.02226503
51255,0.0024900376
51256,0.00013208354
51257,0.045176134
51258,0.0020648935
51259,0.00013353533
51260,0.97644365
51261,0.56032366
51262,3.127199e-13
51263,0.09382389
51264,0.20321423
51265,0.11495807
51266,0.19456486
51267,0.04085915
51268,0.08130868
51269,0.9997243
51270,0.7678804
51271,0.4477946
51272,0.2404586
51273,0.90310705
51274,0.0028412396
51275,0.02965155
51276,6.627293e-09
51277,3.2717535e-06
51278,0.5980578
51279,0.6126678
51280,0.005113836
51281,0.99867994
51282,0.050983764
51283,4.085218e-08
51284,0.6381285
51285,1.1954944e-12
51286,0.53205985
51287,0.8941689
51288,1.6511052e-06
51289,0.111590154
51290,0.09180396
51291,0.003319101
51292,4.2059815e-16
51293,8.1972956e-10
51294,0.01677221
51295,0.8269763
51296,0.00014568355
51297,9.1758056e-07
51298,8.790463e-16
51299,0.33275908
51300,0.090386555
51301,0.80622035
51302,0.47442463
51303,0.0023610417
51304,0.003325456
51305,0.65042895
51306,0.4438554
51307,0.2596101
51308,0.90018773
51309,0.72915524
51310,0.23430318
51311,0.96474886
51312,0.68706346
51313,7.352557e-08
51314,0.77012044
51315,0.8599236
51316,0.49051195
51317,0.81182474
51318,0.7203891
51319,0.012942519
51320,0.4048246
51321,0.0033727135
51322,0.52183914
51323,1.1129354e-05
51324,5.460982e-07
51325,0.08622165
51326,0.6453259
51327,8.344226e-09
51328,0.013179378
51329,0.00069207157
51330,0.032307196
51331,7.4688815e-09
51332,0.27447495
51333,0.1349884
51334,0.00016126907
51335,0.9775653
51336,0.07711695
51337,2.2583647e-07
51338,6.319671e-13
51339,0.001906747
51340,0.01335359
51341,1.4633421e-05
51342,0.9596103
51343,0.0031664218
51344,0.0041675423
51345,2.5898404e-07
51346,0.6349538
51347,2.3460682e-12
51348,1.9184658e-05
51349,0.32564193
51350,0.78191376
51351,2.8456921e-05
51352,0.2831619
51353,0.005409186
51354,0.009494481
51355,2.6356845e-15
51356,0.72944653
51357,2.3820107e-06
51358,0.011574166
51359,0.00066153123
51360,4.983494e-10
51361,0.5180162
51362,0.004448479
51363,0.39795387
51364,0.9710132
51365,2.3546148e-05
51366,0.4061295
51367,0.7783919
51368,0.0035439227
51369,0.030629367
51370,2.2519492e-07
51371,3.450759e-06
51372,0.029443718
51373,0.9179325
51374,0.3411114
51375,0.97074586
51376,0.39344674
51377,2.4082256e-09
51378,0.980098
51379,0.5936496
51380,0.5038905
51381,0.00069563865
51382,5.801743e-10
51383,0.9749519
51384,0.02880127
51385,4.1965894e-05
51386,3.036256e-07
51387,0.038412463
51388,5.3072952e-05
51389,0.13667396
51390,0.071575366
51391,0.95263386
51392,0.74533266
51393,0.9980605
51394,0.029347187
51395,0.6877773
51396,0.7051575
51397,0.0017403963
51398,0.74048847
51399,5.7339348e-05
51400,0.69941145
51401,0.10073323
51402,2.7899401e-05
51403,0.010345026
51404,0.6453259
51405,0.61374396
51406,0.22749196
51407,0.2195654
51408,0.019489802
51409,0.5799091
51410,0.2851989
51411,0.0030420234
51412,0.030462734
51413,0.66494405
51414,0.81171995
51415,0.01431473
51416,0.6508499
51417,0.9976941
51418,0.47814673
51419,0.60100275
51420,0.000110813446
51421,0.49399439
51422,0.17846923
51423,8.837722e-08
51424,0.023663497
51425,0.95869696
51426,0.039528403
51427,0.28002745
51428,0.12116878
51429,0.082685605
51430,0.06823236
51431,0.007062374
51432,0.004543277
51433,0.013151337
51434,1.455685e-08
51435,0.6210956
51436,0.001213477
51437,1.5060571e-25
51438,9.570428e-31
51439,0.00010458297
51440,9.518418e-05
51441,0.93840027
51442,0.5098804
51443,0.078131884
51444,0.99581736
51445,0.9082909
51446,0.00012756952
51447,0.16782035
51448,0.03460594
51449,0.14469722
51450,0.6738461
51451,0.6481874
51452,1.2171242e-05
51453,0.8045271
51454,0.4301286
51455,2.5056583e-05
51456,0.080979094
51457,0.0028217044
51458,3.8506012e-05
51459,0.8113788
51460,8.970336e-05
51461,0.23668472
51462,0.86148715
51463,0.17234115
51464,0.34225574
51465,1.2957418e-10
51466,3.86485e-06
51467,0.8095743
51468,0.0148058
51469,0.0011550076
51470,0.69681245
51471,7.17408e-06
51472,0.0002396279
51473,0.0005279125
51474,0.048123203
51475,0.00039861322
51476,1.2647572e-08
51477,0.06463002
51478,0.6018558
51479,0.014155255
51480,0.14168645
51481,0.98590106
51482,9.777625e-06
51483,0.018082285
51484,0.0001389568
51485,0.99897015
51486,3.5107754e-05
51487,0.0046302676
51488,0.12041932
51489,0.67880297
51490,0.87734574
51491,0.9081491
51492,9.0125905e-05
51493,0.98747814
51494,0.24057813
51495,0.9804504
51496,0.043322034
51497,0.13683602
51498,0.0016894942
51499,0.8176412
51500,0.55646443
51501,0.76901495
51502,0.38362038
51503,0.00039374636
51504,0.063496254
51505,0.009454724
51506,0.641026
51507,0.22051404
51508,0.047613975
51509,0.88223034
51510,0.86386085
51511,0.6993612
51512,3.5069478e-10
51513,0.0080036605
51514,0.18798591
51515,0.121813335
51516,0.9983853
51517,0.49535176
51518,0.00085879996
51519,0.08885229
51520,0.6922871
51521,0.0017252457
51522,0.9822887
51523,0.0019746472
51524,0.6164282
51525,0.013653971
51526,3.798686e-05
51527,0.03903588
51528,0.00064597855
51529,3.720847e-07
51530,0.019303815
51531,0.34547365
51532,0.16966698
51533,0.79806864
51534,1.09115645e-05
51535,0.8619295
51536,0.9999074
51537,0.84426016
51538,0.61472344
51539,0.6446134
51540,0.0013591392
51541,0.4361325
51542,7.1124355e-06
51543,0.62863785
51544,0.004964619
51545,0.0589225
51546,0.02544423
51547,0.9848904
51548,0.540156
51549,0.99999905
51550,0.22524935
51551,0.6461151
51552,2.170899e-05
51553,0.0010624652
51554,8.610246e-06
51555,0.3197352
51556,0.90659684
51557,1.3572561e-06
51558,0.00018336589
51559,0.5022559
51560,8.704358e-06
51561,0.028294522
51562,0.77425325
51563,0.1539408
51564,0.00011913396
51565,0.9447669
51566,0.99995613
51567,8.964935e-08
51568,0.2576695
51569,5.283704e-06
51570,0.033984315
51571,9.097692e-08
51572,0.9542323
51573,6.131169e-06
51574,8.523524e-05
51575,0.31743503
51576,0.5889492
51577,0.033764362
51578,0.14363234
51579,0.00034769115
51580,0.15250151
51581,0.8373828
51582,0.007262698
51583,8.7175686e-05
51584,0.6660241
51585,0.013164056
51586,0.9612496
51587,0.51580554
51588,0.61818445
51589,0.0044773594
51590,0.5995755
51591,2.079334e-05
51592,0.009070055
51593,0.0232312
51594,0.99999714
51595,0.05790564
51596,0.13155432
51597,3.450101e-06
51598,0.006924452
51599,0.0016169772
51600,0.00018852421
51601,0.97102565
51602,0.092325985
51603,0.72052574
51604,0.1606841
51605,0.8513039
51606,0.027144836
51607,0.96583205
51608,0.97847944
51609,7.2540673e-10
51610,0.989626
